BRD,"Schlemmer, Jaina Ute",,,1,1,,,,,,,,
BRD,"Schlemmer, Raman",,,1,1,,,,,,,,
BRD,"Schlemmer, Tut",,1,1,,,,,,,,,
BRD,"Staubach, Helmut",,,,,1,,,,,,,
BRD,"Steckner, Cornelius",,,1,,,,,,,,,
BRD,"Weber, Jos",,,1,1,,,,,,,,
BRD,"Weick, Wolfgang E.",,,,,1,,,,,,,
BRD,"Weis, Ursula",,,,,1,,,,,,,
BRD/D,"Wick, Rainer",,,1,1,,1,1,,,,,
BRD,"zur Netten, Felix",,,,,1,,,,,,,
Chile,"Mondragon, Hugo",,,,,,,,,,,,1
Chile,"Vargas, Eduardo",,,,1,1,,,,,,,
China,"Qun, Dang",,,,,,,,,,,1,
China,"Yansong, Ma",,,,,,,,,,,1,
CSSR,"Adlerova, Alena",,1,,,,,,,,,,
CSSR,"Beisetzer, L.adislav",,,1,,,,,,,,,
CSSR,"Blühova, Irene",,,1,1,,,,,,,,
CSSR,"Budkeova, Barnislava",,,,,1,,,,,,,
CSSR,"Fuchs, Kamil",,,,1,,,,,,,,
CSSR,"Havas, Peter",,,1,1,1,,,,,,,
CSSR,"Jaros, Jan",,,,,1,,,,,,,
CSSR,"Kandrl, Karel",,,,,1,,,,,,,
CSSR,"Karfik, Vladimir",,,,,1,,,,,,,
CSSR,"Karfikowa, Svetla",,,,,1,,,,,,,
CSSR,"Labaj, Osvald",,,,,1,,,,,,,
CSSR,"Lamarova, Bohumila M.",,1,1,,,,,,,,,
CSSR,"Masák, Miroslav",,,,1,,,,,,,,
CSSR,"Metcinski, Ludvik",,,,1,,,,,,,,
CSSR,"Mojzisova, Iva",,,,1,,,,,,,,
CSSR,"Pechar, Josef",,1,1,1,,,,,,,,
CSSR,"Radova, Milada",,1,,,,,,,,,,
CSSR,"Suchomel, Jiri",,,,1,,,,,,,,
CSSR,"Sekera, Jan",,1,1,,,,,,,,,
CSSR,"Sevcik, Jiri",,1,1,1,1,,,,,,,
CSSR,"Slachta, Stefan",,,,,1,,,,,,,
CSSR,"Slapeta, Vladimir",,1,,1,1,,,,,,,
CSSR,"Straus, Tomás",,1,,,,,,,,,,
CSSR,"Urban, Milan",,,,1,,,,,,,,
CSSR,"Ürlich, Petr",,1,,,,,,,,,,
CSSR,"Zraley, Wenzel",,1,,,,,,,,,,
Dänemark,"Bastlund, Knud",,,1,,,,,,,,,
Dänemark,"Munch, Anders V.",,,,,,,,,,,,1
Dänemark,"Rumpfhuber, Andreas",,,,,,,,,,,1,
DDR,"Adami, Horst",,,,,1,,,,,,,
DDR,"Ahnemüller, Rolf",,,1,,,,,,,,,
DDR,"Albeshausen, Sigrid",,,1,,,,,,,,,
DDR,"Albershausen, Hans",,,,,1,,,,,,,
DDR,"Alder, Waldemar",,,,1,1,,,,,,,
DDR,"Alvarez, Manuel",,,,1,,,,,,,,
DDR,"Ameling, Lothar",,,1,1,1,,,,,,,
DDR,"Andrä, Isolde",,,1,,,,,,,,,
DDR,"Andrä, Klaus",,,,,1,,,,,,,
DDR,"Andreas, Rolf",,,,1,,,,,,,,
DDR,"Andres, Günter",,,1,1,,,,,,,,
DDR,"Angermann, Bärbel",,,,,1,,,,,,,
DDR,"Apel, Angelika",,,,1,,,,,,,,
DDR,"Arnold, Günter",,,,1,,,,,,,,
DDR,"Aschenbach, Hanna",,,,,1,,,,,,,
DDR,"Bach, Anita",1,1,1,1,1,,,,,,,
DDR,"Bach, Joachim",1,1,1,1,1,,,,,,,
DDR,"Bartsch, Ekkard",,,1,,1,,,,,,,
DDR,"Bauer, Hans",,,,,1,,,,,,,
DDR,"Baumbach, Christine",,,,1,,,,,,,,
DDR,"Baumbach, Kurt",,,,1,1,,,,,,,
DDR,"Baumbach, Peter",,,1,,,,,,,,,
DDR,"Baumbach, Ute",,,1,1,,,,,,,,
DDR,"Baumgärtel, Gerhard",,,1,1,1,,,,,,,
DDR,"Begenau, Siegfried Heinz",1,1,1,,,,,,,,,
DDR,"Behr, Adalbert",1,1,1,1,1,,,,,,,
DDR,"Beil, Stefan",,,,1,,,,,,,,
DDR,"Berg, Carola",,,,1,,,,,,,,
DDR,"Berger, Hans",1,,,,,,,,,,,
DDR,"Berger, Manfred",,,,,1,,,,,,,
DDR,"Berger, Matthias",,,,1,1,,,,,,,
DDR,"Bernhardt, Gunter",,,,,1,,,,,,,
DDR,"Berning, Barbara",,,1,1,1,,,,,,,
DDR,"Bertram, Bernd",,,,,1,,,,,,,
DDR,"Beyer, Klaus",,,,1,,,,,,,,
DDR,"Bieberbach, Dieter",,,,,1,,,,,,,
DDR,"Blank, Michael",,,,,1,,,,,,,
DDR,"Blei, Eberhard",,,,1,,,,,,,,
DDR,"Blätterlein, A.",,,,,1,,,,,,,
DDR,"Bock, Sabine",,1,,,,,,,,,,
DDR,"Bock, Sonni",,,,1,,,,,,,,
DDR,"Bonitz, Johannes",,,,,1,,,,,,,
DDR,"Bornkessel, Ulla",,1,,,,,,,,,,
DDR,"Böhme, Sylvia",,,,1,,,,,,,,
DDR,"Börnert, Gottfried",1,1,1,1,,,,,,,,
DDR,"Bortenreuter, Lothar",,,1,,,,,,,,,
DDR,"Bote, Peter",,,,1,1,,,,,,,
DDR,"Böttcher, Andreas",,,,1,,,,,,,,
DDR,"Bräuer, Michael",,,1,1,1,,,,,,,
DDR,"Braune, Harry",,,,,1,,,,,,,
DDR,"Brandstädter, Wulf",,,1,,,,,,,,,
DDR,"Brodhun, Paul",,1,,,,,,,,,,
DDR,"Brock, Udo",,,,1,1,,,,,,,
DDR,"Budszuhn, Dieter",,1,1,1,,,,,,,,
DDR,"Bürgel, Hannes",,,,,1,,,,,,,
DDR,"Büttner, Oskar",,,1,1,,,,,,,,
DDR,"Burggraf, Horst",,,1,,,,,,,,,
DDR,"Burghardt, Gerhald",,,,,1,,,,,,,
DDR,"Burhenne, Jochen",,,,1,,,,,,,,
DDR,"Burmeister, Karl-Heinz",,,,1,1,,,,,,,
DDR,"Casparius, Joachim",,,1,1,1,,,,,,,
DDR,"Claus, Werner",,1,1,,,,,,,,,
DDR,"Clausing, Hugo",,,1,,,,,,,,,
DDR,"Collein, Edmund",1,1,,1,1,,,,,,,
DDR,"Collein, Lotte",,1,,,,,,,,,,
DDR,"Dauer, Horst",,,,,1,,,,,,,
DDR,"Decker, Martin",,,1,1,1,,,,,,,
DDR,"Deutschland, Heinz",,,,,1,,,,,,,
DDR,"Dielitzsch, Christoph",,,,,1,,,,,,,
DDR,"Dietel, Clauss",,,,1,,,,,,,,
DDR,"Dietl, Roland",,,,,1,,,,,,,
DDR,"Dietzsch, Folke",,,1,1,1,,,,,,,
DDR,"Dinger, Jörg",,,,1,,,,,,,,
DDR,"Doehler, Peter",1,,1,,,,,,,,,
DDR,"Dohnert, Sigfried",1,,,,,,,,,,,
DDR,"Dolgner, Angela",,,,,1,,,,,,,
DDR,"Dolgner, Dieter",1,1,1,1,,,,,,,,
DDR,"Döll, Georg",,,,1,,,,,,,,
DDR/D,"Donath, Dirk",,,,,1,,1,,,,,
DDR,"Dorst, Till",,,,,1,,,,,,,
DDR,"Drechsler, Volkrad",,,,1,1,,,,,,,
DDR,"Drescher, Eberhard",,,1,,,,,,,,,
DDR,"Dreßler, ?",,1,,,,,,,,,,
DDR,"Driefer, Hans-Joachim",,,,,1,,,,,,,
DDR,"Dupke, Eckhard",,,,,1,,,,,,,
DDR,"Eberlein, Kurt",,,1,,1,,,,,,,
DDR,"Ehlert, Ingrid",1,,,,,,,,,,,
DDR,"Ehrlich, Franz",1,1,1,,,,,,,,,
DDR,"Eichert, Christine",,1,1,,,,,,,,,
DDR,"Eichner, Georg",,,,,1,,,,,,,
DDR,"Eisel, Eberhard",,,,,1,,,,,,,
DDR,"Emmrich, Angelika",,,,1,1,,,,,,,
DDR,"Emmrich, Peter",,1,,1,,,,,,,,
DDR,"Engel, Margit",,1,,,,,,,,,,
DDR,"Engelberger, Otto",1,,,,,,,,,,,
DDR,"Engelskircher, Horst",,,1,,,,,,,,,
DDR,"Erfurth, Helmut",,,,1,,,,,,,,
DDR,"Ewald, Rudi",,,,,1,,,,,,,
DDR,"Fabian, Birgitte",,,1,,,,,,,,,
DDR,"Falkenberg, Manuela",,,1,1,,,,,,,,
DDR,"Fankhänel, Günter",,,,1,,,,,,,,
DDR,"Färber, Axel",,,,1,,,,,,,,
DDR,"Fetter, Werner",,,,1,,,,,,,,
